INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-01-27T09:00:00-00:00,2025-01-27T10:00:00-00:00,2,2025-01-27,2,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1348.59,2DA,1
2025-01-27T10:00:00-00:00,2025-01-27T11:00:00-00:00,2,2025-01-27,3,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1354.18,2DA,1
2025-01-27T18:00:00-00:00,2025-01-27T19:00:00-00:00,2,2025-01-27,11,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1715.37,2DA,1
2025-01-27T14:00:00-00:00,2025-01-27T15:00:00-00:00,2,2025-01-27,7,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1705,2DA,1
2025-01-27T20:00:00-00:00,2025-01-27T21:00:00-00:00,2,2025-01-27,13,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1653.24,2DA,1
2025-01-27T21:00:00-00:00,2025-01-27T22:00:00-00:00,2,2025-01-27,14,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1623.14,2DA,1
2025-01-27T15:00:00-00:00,2025-01-27T16:00:00-00:00,2,2025-01-27,8,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1792,2DA,1
2025-01-27T16:00:00-00:00,2025-01-27T17:00:00-00:00,2,2025-01-27,9,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1788.11,2DA,1
2025-01-28T04:00:00-00:00,2025-01-28T05:00:00-00:00,2,2025-01-27,21,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1652.83,2DA,1
2025-01-28T07:00:00-00:00,2025-01-28T08:00:00-00:00,2,2025-01-27,24,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1400.99,2DA,1
2025-01-28T03:00:00-00:00,2025-01-28T04:00:00-00:00,2,2025-01-27,20,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1705.74,2DA,1
2025-01-27T11:00:00-00:00,2025-01-27T12:00:00-00:00,2,2025-01-27,4,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1376.65,2DA,1
2025-01-27T12:00:00-00:00,2025-01-27T13:00:00-00:00,2,2025-01-27,5,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1433.93,2DA,1
2025-01-27T08:00:00-00:00,2025-01-27T09:00:00-00:00,2,2025-01-27,1,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1357.14,2DA,1
2025-01-27T22:00:00-00:00,2025-01-27T23:00:00-00:00,2,2025-01-27,15,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1601.93,2DA,1
2025-01-27T17:00:00-00:00,2025-01-27T18:00:00-00:00,2,2025-01-27,10,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1754.01,2DA,1
2025-01-28T00:00:00-00:00,2025-01-28T01:00:00-00:00,2,2025-01-27,17,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1677.89,2DA,1
2025-01-28T02:00:00-00:00,2025-01-28T03:00:00-00:00,2,2025-01-27,19,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1740.86,2DA,1
2025-01-27T23:00:00-00:00,2025-01-28T00:00:00-00:00,2,2025-01-27,16,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1607.55,2DA,1
2025-01-28T05:00:00-00:00,2025-01-28T06:00:00-00:00,2,2025-01-27,22,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1567.82,2DA,1
2025-01-28T06:00:00-00:00,2025-01-28T07:00:00-00:00,2,2025-01-27,23,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1470.88,2DA,1
2025-01-27T13:00:00-00:00,2025-01-27T14:00:00-00:00,2,2025-01-27,6,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1554.95,2DA,1
2025-01-27T19:00:00-00:00,2025-01-27T20:00:00-00:00,2,2025-01-27,12,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1682.6,2DA,1
2025-01-28T01:00:00-00:00,2025-01-28T02:00:00-00:00,2,2025-01-27,18,0,2DA,AVA,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,1753.82,2DA,1
2025-01-27T16:00:00-00:00,2025-01-27T17:00:00-00:00,2,2025-01-27,9,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T20:00:00-00:00,2025-01-27T21:00:00-00:00,2,2025-01-27,13,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-28T03:00:00-00:00,2025-01-28T04:00:00-00:00,2,2025-01-27,20,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-28T00:00:00-00:00,2025-01-28T01:00:00-00:00,2,2025-01-27,17,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T22:00:00-00:00,2025-01-27T23:00:00-00:00,2,2025-01-27,15,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T12:00:00-00:00,2025-01-27T13:00:00-00:00,2,2025-01-27,5,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T14:00:00-00:00,2025-01-27T15:00:00-00:00,2,2025-01-27,7,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T15:00:00-00:00,2025-01-27T16:00:00-00:00,2,2025-01-27,8,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T13:00:00-00:00,2025-01-27T14:00:00-00:00,2,2025-01-27,6,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-28T07:00:00-00:00,2025-01-28T08:00:00-00:00,2,2025-01-27,24,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-28T06:00:00-00:00,2025-01-28T07:00:00-00:00,2,2025-01-27,23,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T11:00:00-00:00,2025-01-27T12:00:00-00:00,2,2025-01-27,4,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-28T01:00:00-00:00,2025-01-28T02:00:00-00:00,2,2025-01-27,18,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T09:00:00-00:00,2025-01-27T10:00:00-00:00,2,2025-01-27,2,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T17:00:00-00:00,2025-01-27T18:00:00-00:00,2,2025-01-27,10,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T10:00:00-00:00,2025-01-27T11:00:00-00:00,2,2025-01-27,3,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T18:00:00-00:00,2025-01-27T19:00:00-00:00,2,2025-01-27,11,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T19:00:00-00:00,2025-01-27T20:00:00-00:00,2,2025-01-27,12,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-28T04:00:00-00:00,2025-01-28T05:00:00-00:00,2,2025-01-27,21,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-28T02:00:00-00:00,2025-01-28T03:00:00-00:00,2,2025-01-27,19,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T08:00:00-00:00,2025-01-27T09:00:00-00:00,2,2025-01-27,1,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T23:00:00-00:00,2025-01-28T00:00:00-00:00,2,2025-01-27,16,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-27T21:00:00-00:00,2025-01-27T22:00:00-00:00,2,2025-01-27,14,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-28T05:00:00-00:00,2025-01-28T06:00:00-00:00,2,2025-01-27,22,0,2DA,AVRN,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,0,2DA,2
2025-01-28T06:00:00-00:00,2025-01-28T07:00:00-00:00,2,2025-01-27,23,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3583.9,2DA,3
2025-01-28T03:00:00-00:00,2025-01-28T04:00:00-00:00,2,2025-01-27,20,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,4083.93,2DA,3
2025-01-28T07:00:00-00:00,2025-01-28T08:00:00-00:00,2,2025-01-27,24,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3466.25,2DA,3
2025-01-28T02:00:00-00:00,2025-01-28T03:00:00-00:00,2,2025-01-27,19,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,4013.76,2DA,3
2025-01-28T00:00:00-00:00,2025-01-28T01:00:00-00:00,2,2025-01-27,17,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3671.03,2DA,3
2025-01-27T22:00:00-00:00,2025-01-27T23:00:00-00:00,2,2025-01-27,15,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3137.42,2DA,3
2025-01-27T20:00:00-00:00,2025-01-27T21:00:00-00:00,2,2025-01-27,13,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3114.65,2DA,3
2025-01-27T18:00:00-00:00,2025-01-27T19:00:00-00:00,2,2025-01-27,11,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3336.57,2DA,3
2025-01-27T14:00:00-00:00,2025-01-27T15:00:00-00:00,2,2025-01-27,7,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,4217.48,2DA,3
2025-01-27T17:00:00-00:00,2025-01-27T18:00:00-00:00,2,2025-01-27,10,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3561.67,2DA,3
2025-01-27T16:00:00-00:00,2025-01-27T17:00:00-00:00,2,2025-01-27,9,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3814.74,2DA,3
2025-01-27T12:00:00-00:00,2025-01-27T13:00:00-00:00,2,2025-01-27,5,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3690.82,2DA,3
2025-01-28T01:00:00-00:00,2025-01-28T02:00:00-00:00,2,2025-01-27,18,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3935.25,2DA,3
2025-01-28T04:00:00-00:00,2025-01-28T05:00:00-00:00,2,2025-01-27,21,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3980.9,2DA,3
2025-01-27T15:00:00-00:00,2025-01-27T16:00:00-00:00,2,2025-01-27,8,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,4092.23,2DA,3
2025-01-27T13:00:00-00:00,2025-01-27T14:00:00-00:00,2,2025-01-27,6,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,4019.46,2DA,3
2025-01-27T11:00:00-00:00,2025-01-27T12:00:00-00:00,2,2025-01-27,4,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3440.25,2DA,3
2025-01-28T05:00:00-00:00,2025-01-28T06:00:00-00:00,2,2025-01-27,22,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3780.77,2DA,3
2025-01-27T23:00:00-00:00,2025-01-28T00:00:00-00:00,2,2025-01-27,16,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3368.7,2DA,3
2025-01-27T21:00:00-00:00,2025-01-27T22:00:00-00:00,2,2025-01-27,14,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3092.3,2DA,3
2025-01-27T19:00:00-00:00,2025-01-27T20:00:00-00:00,2,2025-01-27,12,0,2DA,AZPS,Demand Forecast 2-Day Ahead,SYS_FCST_2DA_MW,1.8,3191.31,2DA,3
